"01","Canada","Population and Dwelling Counts","Population in 2001","1","30007094","","","+",
"01","Canada","Population and Dwelling Counts"," Population in 1996","2","28846761","","","+",
"01","Canada","Population and Dwelling Counts"," 1996 to 2001 population change (%)","","4","","","",
"01","Canada","Population and Dwelling Counts"," Total private dwellings","","12548588","","","",
"01","Canada","Population and Dwelling Counts"," Population density per square kilometre","","3.3","","","",
"01","Canada","Population and Dwelling Counts"," Land area (square km)","","9012112.2","","","",
"01","Canada","Age Characteristics of the Population","Total - All persons","3","30007095","14706850","15300245","",
"01","Canada","Age Characteristics of the Population","   Age 0-4","","1696285","868075","828205","",
"01","Canada","Age Characteristics of the Population","   Age 5-14","","4029255","2062915","1966340","",
"01","Canada","Age Characteristics of the Population","   Age 15-19","","2053325","1052150","1001180","",
"01","Canada","Age Characteristics of the Population","   Age 20-24","","1955810","982280","973530","",
"01","Canada","Age Characteristics of the Population","   Age 25-44","","9096560","4483480","4613080","",
"01","Canada","Age Characteristics of the Population","   Age 45-54","","4419290","2184520","2234770","",
"01","Canada","Age Characteristics of the Population","   Age 55-64","","2868015","1410770","1457240","",
"01","Canada","Age Characteristics of the Population","   Age 65-74","","2142835","1005610","1137225","",
"01","Canada","Age Characteristics of the Population","   Age 75-84","","1329805","531465","798345","",
"01","Canada","Age Characteristics of the Population","   Age 85 and over","","415910","125580","290325","",
"01","Canada","Age Characteristics of the Population"," Median age of the population","","37.6","36.8","38.4","",
"01","Canada","Age Characteristics of the Population"," % of the population ages 15 and over","","80.9","80.1","81.7","",
"01","Canada","Common-law Status","Total - Population 15 years and over","4","24281560","11775860","12505700","",
"01","Canada","Common-law Status","   Not in a common-law relationship","","21996725","10629805","11366925","",
"01","Canada","Common-law Status","   In a common-law relationship","","2284830","1146055","1138775","",
"01","Canada","Legal Marital Status","Total - Population 15 years and over","5","24281555","11775855","12505700","",
"01","Canada","Legal Marital Status","   Single","6","8139330","4347350","3791980","",
"01","Canada","Legal Marital Status","   Married","7","12011675","6008450","6003225","",
"01","Canada","Legal Marital Status","   Separated","8","733870","326725","407145","",
"01","Canada","Legal Marital Status","   Divorced","9","1854770","809180","1045590","",
"01","Canada","Legal Marital Status","   Widowed","10","1541910","284150","1257755","",
"01","Canada","Language(s) First Learned and Still Understood","Total - All persons","19","29639030","14564275","15074760","",
